season,week,game_id,matchup,market,selection,line,price,model_prob,ev,stake_pct,result,profit,confidence
2015,16,2015_16_JAX_NO,JAX @ NO,SPREAD,JAX,2.5,1.9709,0.542298,6.88,1,lose,-1,0.95
2015,16,2015_16_JAX_NO,JAX @ NO,TOTAL,under,52.5,1.9346,0.54755,5.93,1,lose,-1,0.95
2015,16,2015_16_NYG_MIN,NYG @ MIN,TOTAL,over,44.5,2.0,0.538607,7.72,1,win,1.0,0.95
2015,17,2015_17_NO_ATL,NO @ ATL,SPREAD,NO,6.0,1.9434,0.537846,4.52,1,win,0.9434,0.95
2015,17,2015_17_NO_ATL,NO @ ATL,TOTAL,under,53.5,1.9346,0.53468,3.44,1,win,0.9346000000000001,0.95
2015,17,2015_17_PIT_CLE,PIT @ CLE,SPREAD,CLE,13.0,1.8772,0.550093,3.26,1,lose,-1,0.83
2015,17,2015_17_JAX_HOU,JAX @ HOU,SPREAD,JAX,5.0,1.9804,0.529931,4.95,1,lose,-1,0.95
2015,17,2015_17_NE_MIA,NE @ MIA,SPREAD,MIA,10.0,1.8696,0.561082,4.9,1,win,0.8695999999999999,0.95
2015,17,2015_17_SEA_ARI,SEA @ ARI,SPREAD,SEA,6.0,1.9174,0.541086,3.75,1,win,0.9174,0.95
2015,17,2015_17_TB_CAR,TB @ CAR,SPREAD,TB,10.0,1.8475,0.565044,4.39,1,lose,-1,0.95
2016,2,2016_02_TB_ARI,TB @ ARI,TOTAL,under,49.5,1.9524,0.54455,6.32,1,win,0.9523999999999999,0.4551
2016,2,2016_02_SF_CAR,SF @ CAR,TOTAL,under,44.5,1.9259,0.54884,5.7,1,lose,-1,0.4551
2016,2,2016_02_TEN_DET,TEN @ DET,SPREAD,TEN,6.0,1.9804,0.538611,6.67,1,win,0.9803999999999999,0.4551
2016,2,2016_02_KC_HOU,KC @ HOU,TOTAL,over,41.5,1.9524,0.53096,3.66,1,lose,-1,0.4551
2016,2,2016_02_MIA_NE,MIA @ NE,SPREAD,MIA,5.5,1.9259,0.552189,6.35,1,lose,-1,0.4551
2016,2,2016_02_DAL_WAS,DAL @ WAS,SPREAD,WAS,-3.5,1.9804,0.536251,6.2,1,lose,-1,0.3351
2016,3,2016_03_HOU_NE,HOU @ NE,TOTAL,under,38.5,1.9434,0.541834,5.3,1,win,0.9434,0.4551
2016,3,2016_03_MIN_CAR,MIN @ CAR,TOTAL,under,43.0,1.9615,0.536736,5.28,1,win,0.9615,0.4551
2016,4,2016_04_TEN_HOU,TEN @ HOU,SPREAD,TEN,4.0,1.9524,0.53224,3.91,1,lose,-1,0.4551
2016,4,2016_04_SEA_NYJ,SEA @ NYJ,SPREAD,SEA,-1.0,1.9524,0.53572,4.59,1,win,0.9523999999999999,0.3351
2016,4,2016_04_LA_ARI,LA @ ARI,SPREAD,LA,10.0,1.8772,0.559733,5.07,1,win,0.8772,0.4551
2016,5,2016_05_WAS_BAL,WAS @ BAL,TOTAL,under,44.5,1.9434,0.544039,5.73,1,win,0.9434,0.5551
2016,5,2016_05_CHI_IND,CHI @ IND,SPREAD,IND,-4.0,1.9524,0.54676,6.75,1,win,0.9523999999999999,0.5551
2016,5,2016_05_TEN_MIA,TEN @ MIA,SPREAD,TEN,2.5,1.9804,0.534331,5.82,1,win,0.9803999999999999,0.5551
2016,5,2016_05_BUF_LA,BUF @ LA,SPREAD,LA,2.5,1.9524,0.53768,4.98,1,lose,-1,0.5551
2016,5,2016_05_SD_OAK,SD @ OAK,SPREAD,SD,3.5,1.9901,0.535514,6.57,1,win,0.9901,0.35
2016,5,2016_05_TB_CAR,TB @ CAR,SPREAD,TB,6.0,1.9346,0.540462,4.56,1,win,0.9346000000000001,0.4351
2016,6,2016_06_DEN_SD,DEN @ SD,SPREAD,SD,3.0,1.9091,0.554974,5.95,1,win,0.9091,0.6162
2016,6,2016_06_NYJ_ARI,NYJ @ ARI,TOTAL,under,46.0,1.9615,0.543711,6.65,1,win,0.9615,0.95
2016,7,2016_07_MIN_PHI,MIN @ PHI,TOTAL,under,39.0,1.9524,0.545,6.41,1,win,0.9523999999999999,0.87
2016,7,2016_07_SD_ATL,SD @ ATL,SPREAD,ATL,-4.5,1.9346,0.532342,2.99,1,lose,-1,0.6162
2016,7,2016_07_HOU_DEN,HOU @ DEN,SPREAD,HOU,8.5,1.9346,0.541142,4.69,1,lose,-1,0.95
2016,7,2016_07_HOU_DEN,HOU @ DEN,TOTAL,under,40.0,1.8696,0.556992,4.14,1,win,0.8695999999999999,0.95
2016,8,2016_08_JAX_TEN,JAX @ TEN,TOTAL,under,43.5,1.9709,0.54245,6.91,1,lose,-1,0.95
2016,8,2016_08_WAS_CIN,WAS @ CIN,TOTAL,under,49.0,1.885,0.55452,4.53,1,lose,-1,0.95
2016,8,2016_08_ARI_CAR,ARI @ CAR,SPREAD,CAR,-2.5,1.9091,0.545214,4.09,1,win,0.9091,0.95
2016,8,2016_08_DET_HOU,DET @ HOU,TOTAL,under,46.5,1.9524,0.543425,6.1,1,win,0.9523999999999999,0.95
2016,8,2016_08_KC_IND,KC @ IND,SPREAD,IND,3.0,1.8403,0.554296,2.01,1,lose,-1,0.95
2016,8,2016_08_MIN_CHI,MIN @ CHI,SPREAD,CHI,5.5,1.9434,0.549406,6.77,1,win,0.9434,0.95
2016,9,2016_09_DET_MIN,DET @ MIN,SPREAD,DET,4.0,1.9091,0.543614,3.78,1,win,0.9091,0.95
2016,9,2016_09_PHI_NYG,PHI @ NYG,SPREAD,PHI,3.0,1.9091,0.554974,5.95,1,lose,-1,0.95
2016,9,2016_09_TEN_SD,TEN @ SD,SPREAD,TEN,3.5,1.9346,0.548262,6.07,1,lose,-1,0.6162
